date,open,high,low,close,volume,symbol,sma_5,sma_10,sma_20,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid,bb_std,bb_upper,bb_lower,price_up,vol_down,vol_price_divergence,return_1d,ma_gap_10,volatility_5d,target
2020-01-31,338.3324857756582,342.42593516580877,330.5015403970669,331.92535400390625,22019753,0700.HK,338.61720581054686,344.7395721435547,346.1010986328125,342.7040248374597,343.9772493201357,-1.273224482675971,1.0823935376956413,-2.3556180203716126,36.67708210925759,346.1010986328125,8.394871730399217,362.89084209361096,329.3113551720141,0,1,0,-0.005333133604887186,-0.037170720088706345,0.008447080568202746,1
2020-02-03,336.3747132025722,341.0021068251032,328.899722194428,338.15447998046875,31109450,0700.HK,337.62054443359375,342.95981750488284,345.9943130493164,342.0040948594611,343.545933072753,-1.5418382132918964,0.5575471874981338,-2.0993854007900303,35.048204732545315,345.9943130493164,8.485770134878214,362.96585331907283,329.02277277956,1,0,0,0.01876664708321485,-0.01401137182593022,0.014525632225394039,1
2020-02-04,347.05329538644213,350.2568756879687,342.4259016175704,349.7229309082031,30843842,0700.HK,338.9019775390625,342.42589111328124,346.4392562866211,343.1916080977291,344.0034884679715,-0.8118803702424202,0.283661675950023,-1.0955420461924432,40.059307462953285,346.4392562866211,8.433545952832775,363.3063481922867,329.57216438095554,1,1,1,0.0342105505401038,0.02130983662245295,0.022238587936337626,0
2020-02-05,355.95209262374505,355.95209262374505,344.7396059923847,349.0110168457031,24297251,0700.HK,340.50376586914064,342.0877380371094,347.09776763916017,344.08690175126355,344.37441649595166,-0.2875147446881101,0.16942639182239638,-0.4569411365105065,43.40830622338283,347.09776763916017,8.068727695314012,363.2352230297882,330.96031224853215,0,1,0,-0.0020356516532994418,0.020238313271090467,0.02177051564277922,1
2020-02-06,354.17225990166304,355.9520263671875,349.01095188115033,355.9520263671875,19300328,0700.HK,344.9531616210937,343.3869598388672,347.7384796142578,345.9123055383288,345.2320172271543,0.6802883111744791,0.27159877569281293,0.40868953548166614,50.877158666026915,347.7384796142578,8.24458092833594,364.2276414709297,331.2493177575859,1,1,1,0.01988765163981343,0.03659156577820079,0.016528058040969924,1
2020-02-07,355.240142031487,358.0877685546875,351.1466936338953,358.0877685546875,16159459,0700.HK,350.18564453125,344.40142517089845,348.64615631103516,347.7854536946917,346.18429510326786,1.6011585914238253,0.5375107388390155,1.0636478525848099,51.724166803615574,348.64615631103516,8.338916946288855,365.3239902036129,331.96832241845743,1,1,1,0.006000084363326108,0.03973950856038889,0.013943319861746437,0
2020-02-10,352.03659036261075,356.8419457755238,351.50267507629616,356.4859924316406,17859063,0700.HK,353.85194702148436,345.7362457275391,349.11779022216797,349.12399811576074,346.9473837942584,2.1766143215023135,0.8653314553716751,1.3112828661306384,51.13635753578405,349.11779022216797,8.509098209434539,366.13598664103705,332.0995938032989,0,0,0,-0.004473138330057913,0.031092333641445813,0.01621471156261813,1
2020-02-11,360.40143396707305,365.74070399597184,359.15558269038434,363.9609375,25149444,0700.HK,356.6995483398438,347.80076293945314,349.58052520751954,351.4066041748745,348.20764703172074,3.1989571431537343,1.332056592928087,1.8669005502256473,58.575183074594484,349.58052520751954,9.062636121503134,367.70579745052584,331.45525296451325,1,0,0,0.02096841173862596,0.0464638847366764,0.01193487515132196,1
2020-02-12,364.8508845356979,368.0544352001831,363.2490797444347,365.7407531738281,19203274,0700.HK,360.0454956054688,350.2746307373047,349.7851959228516,353.6118578670212,349.5063956348398,4.105462232181367,1.886737720778743,2.2187245114026237,69.04767492463677,349.7851959228516,9.389813265158308,368.5648224531682,331.005569392535,1,1,1,0.004890128281494821,0.04415427518678214,0.010818576646344991,1
2020-02-13,370.1901587101949,370.7241034652334,367.69848525773045,370.5461120605469,19377169,0700.HK,362.9643127441406,353.9587371826172,350.4970977783203,356.2171277429482,351.0648931478551,5.152234595093091,2.5398370956416128,2.6123974994514785,68.9552943013789,350.4970977783203,10.396190782554697,371.2894793434297,329.70471621321093,1,0,0,0.013138702332236019,0.04686245354461129,0.009536523927108678,0
2020-02-14,369.3002624511719,373.74966426837943,367.87644915622246,369.3002624511719,15064498,0700.HK,365.2068115234375,357.69622802734375,351.21790008544923,358.2299176980595,352.4156612443971,5.814256453662438,3.194720967245778,2.61953548641666,73.33336234704198,351.21790008544923,11.186119091734048,373.5901382689173,328.84566190198115,0,1,0,-0.0033621985734704207,0.032441031005060156,0.010877886053274104,1
2020-02-17,365.384820584577,373.5717185729533,365.0288672172988,370.72412109375,11584816,0700.HK,368.0544372558594,360.95319213867185,351.95650482177734,360.15210283585805,353.77184345546027,6.380259380397774,3.8318286498761776,2.5484307305215967,73.91309439654046,351.95650482177734,11.975030850630253,375.90656652303784,328.00644312051685,1,1,1,0.0038555581659418525,0.027069795108847047,0.009360573220302261,0
2020-02-18,367.5205555693637,368.7663776754312,362.5372376860697,363.2491149902344,14137968,0700.HK,367.9120727539063,362.305810546875,352.3658508300781,360.62856624422363,354.4738635691472,6.154702675076408,4.2964034549162236,1.858299220160184,67.80630021983052,352.3658508300781,12.224118447458943,376.814087724996,327.9176139351602,0,0,0,-0.02016325800830565,0.002603613897153625,0.0125372137495365,1
2020-02-19,364.85085779362726,368.9443062552303,363.605006440736,366.0966796875,13560685,0700.HK,367.98325805664064,364.0143768310547,353.05105743408205,361.46981446626614,355.3348129112474,6.135001555018732,4.664123074936725,1.470878480082007,77.91414171146202,353.05105743408205,12.603878164912256,378.2588137639066,327.84330110425753,1,1,1,0.007839151094262586,0.00572038630609295,0.01290796576846742,0
2020-02-20,370.1901929205367,370.1901929205367,360.9354344151453,364.8509216308594,17988323,0700.HK,366.84421997070314,364.9042663574219,354.1456130981445,361.9899847992805,356.0397098534409,5.950274945839567,4.921353449117294,1.0289214967222726,78.63781361110021,354.1456130981445,12.631913627721215,379.40944035358694,328.8817858427021,0,0,0,-0.0034028116772433226,-0.00014618827862716494,0.010716177429047348,0
2020-02-21,361.2913515778976,363.4270716632659,355.9520808234975,356.8419494628906,18924900,0700.HK,364.35255737304686,364.77968444824216,354.59055480957034,361.1979793629128,356.09913500969645,5.09884435321635,4.9568516299371055,0.14199272327924461,65.7657532250187,354.59055480957034,12.558451512776529,379.70745783512336,329.4736517840173,0,0,0,-0.021951355178628007,-0.021760353780002812,0.013670410523122203,0
2020-02-24,349.90091423291335,352.2145963343556,347.05328736404806,347.40924072265625,25147543,0700.HK,359.6895812988281,363.87200927734375,354.8041275024414,359.0766349567195,355.45543913658236,3.6211958201371317,4.689720467977111,-1.068524647839979,47.975075373717694,354.8041275024414,12.388603625704846,379.58133475385114,330.0269202510317,0,0,0,-0.026433856093523334,-0.045243294716136175,0.014475203744033117,1
2020-02-25,347.7652040290322,358.4437756337142,347.40925066024204,357.37591552734375,26122308,0700.HK,358.51494140625,363.2135070800781,355.50713500976565,358.8149858137386,355.5976966470091,3.217289166729472,4.395234207727583,-1.177945040998111,56.30028891312811,355.50713500976565,12.097889625452643,379.7029142606709,331.3113557588604,1,0,0,0.028688571391928264,-0.016072066261146316,0.022528320697541758,0
2020-02-26,353.81636361879646,359.33362582140757,352.0365968664992,355.59613037109375,19879517,0700.HK,356.4148315429687,362.1990447998047,356.23683776855466,358.3197772841009,355.59758062657096,2.722196657529935,4.060626697688053,-1.3384300401581184,49.70934839271598,356.23683776855466,11.607124790251259,379.45108734905716,333.02258818805217,0,1,0,-0.004980148574432519,-0.018230071347539126,0.021692931389521112,0
2020-02-27,355.06218193694775,357.3758934204714,350.9687331785884,355.24017333984375,20804187,0700.HK,354.4926818847656,360.6684509277344,357.31359405517577,357.8459920619075,355.57110601273934,2.274886049168174,3.7034785679840776,-1.4285925188159037,47.60480977510789,357.31359405517577,10.336204286862671,377.98600262890113,336.6411854814504,0,0,0,-0.0010010149179028316,-0.015050602773621274,0.02178060412467062,0
2020-02-28,348.29913031445346,348.65508369444626,342.06999035311475,343.4937744140625,34620841,0700.HK,351.823046875,358.0878021240234,357.8920150756836,355.63795857762364,354.6764888572818,0.9614697203418245,3.155076798455627,-2.1936070781138026,40.6649882103762,357.8920150756836,9.089144846024062,376.0703047677317,339.7137253836355,0,0,0,-0.03306607700178088,-0.04075544495901677,0.024342423119958927,1
2020-03-02,342.2479245013321,351.1467288189804,342.2479245013321,346.69732666015625,25046834,0700.HK,351.6806640625,355.68512268066405,358.319157409668,354.2624767441671,354.08543980564286,0.17703693852422475,2.559468826469347,-2.3824318879451223,36.78480186249362,358.319157409668,8.277236610520823,374.8736306307096,341.76468418862635,1,1,1,0.009326376443236528,-0.02526896810518862,0.022522053966173718,1
2020-03-03,349.7228938578668,354.8842024006825,349.7228938578668,350.6127624511719,23657661,0700.HK,350.3280334472656,354.42148742675784,358.36364898681643,353.70098223755247,353.82820444605244,-0.12722220849997257,2.022130619475483,-2.1493528279754557,38.786253054888,358.36364898681643,8.230860079786645,374.82536914638973,341.9019288272431,1,1,1,0.011293527494815825,-0.010746315081624512,0.01778890857602018,0
2020-03-04,352.3925290968013,352.3925290968013,347.765165277184,350.6127624511719,21215873,0700.HK,349.33135986328125,352.873095703125,358.44373626708983,353.22587150118625,353.5900235575428,-0.364152056356545,1.5448740843090776,-1.9090261406656226,34.090871441315144,358.44373626708983,8.142385303168073,374.728506873426,342.15896566075367,0,1,0,0.0,-0.006405513141910797,0.01783765095989392,1
2020-03-05,354.1723012038906,362.0032451063967,350.6127678577425,361.4693298339844,29338773,0700.HK,350.5771911621094,352.5349365234375,358.7196014404297,354.4940958600783,354.17367587431625,0.3204199857620438,1.299983264599671,-0.9795632788376272,44.58128743712332,358.7196014404297,8.146984900495802,375.0135712414213,342.4256316394381,1,0,0,0.030964552764460418,0.025343284834843223,0.02344199202115606,0
2020-03-06,354.1722976832075,356.13002627461816,351.50266242964403,352.2145690917969,32962369,0700.HK,352.32135009765625,352.07219848632815,358.42594146728516,354.14339943418884,354.02855685338886,0.1148425807999729,1.0629551278397313,-0.9481125470397584,38.44440607918025,358.42594146728516,8.275790329165693,374.97752212561653,341.8743608089538,0,0,0,-0.025603170112490692,0.00040437900544497516,0.020578176899173645,0
2020-03-09,338.15447182084785,342.60387392871513,332.4592477280253,335.8407897949219,39186001,0700.HK,350.15004272460936,350.9153533935547,357.39368133544923,351.32761333584006,352.68131484905797,-1.3537015132179135,0.5796237996282024,-1.933325312846116,34.59997338235803,357.39368133544923,9.696173580827308,376.78602849710387,338.0013341737946,0,0,0,-0.046488080658036446,-0.04295783428354751,0.03051642034096471,1
2020-03-10,339.9341976312751,346.5192895692866,334.59489806921783,340.8240661621094,34608378,0700.HK,348.1923034667969,349.2601684570312,356.23683776855466,349.71168300141994,351.8030001315062,-2.0913171300862814,0.045435613685305666,-2.136752743771587,36.1327877037756,356.23683776855466,10.236563498139963,376.7099647648346,335.76371077227475,1,1,1,0.014838210600417234,-0.024154206682631574,0.031054078117001106,0
2020-03-11,340.82410053638773,342.24791389653694,335.4848298948482,336.73065185546875,22181564,0700.HK,345.41588134765624,347.3736206054688,354.78633270263674,347.7146012866582,350.6865298888368,-2.9719286021785933,-0.5580372294874741,-2.4138913726911193,35.037838741929875,354.78633270263674,10.855619439034639,376.497571580706,333.0750938245675,0,1,0,-0.012010344083781987,-0.030638390823832372,0.031010192885252624,0
2020-03-12,327.4759128230516,328.72176431250136,321.95865047283337,323.5604553222656,41266522,0700.HK,337.8341064453125,344.2056488037109,352.43704986572266,343.9985788305978,348.6771910320537,-4.6786122014559055,-1.3821522238811605,-3.296459977574745,33.2136324157142,352.43704986572266,12.258932662617854,376.9549151909584,327.9191845404869,0,0,0,-0.039111962218562835,-0.059979240762601665,0.02429911143381469,1
2020-03-13,298.99973106249104,327.4758790918604,298.99973106249104,324.8062438964844,62258137,0700.HK,332.35244140625,342.33689575195314,350.2123489379883,341.0459119176573,346.9089727257152,-5.863060808057924,-2.278333940716513,-3.5847268673414105,37.573340530874965,350.2123489379883,13.049409718361703,376.3111683747117,324.11352950126485,1,0,0,0.00385024978710069,-0.051208771455855395,0.026572534764847625,0
2020-03-16,316.7974036921086,318.3991792481105,299.8896615335504,304.1611022949219,53921271,0700.HK,326.01650390625,338.08327331542966,346.8841979980469,335.3713258218518,343.7424638049157,-8.371137983063875,-3.496894749185986,-4.874243233877889,23.817806332242,346.8841979980469,15.751203016354347,378.38660403075556,315.3817919653382,0,1,0,-0.0635614061906461,-0.10033673268673841,0.03203913834053659,1
2020-03-17,304.16105300899795,315.7294923413046,300.77951101703263,311.28009033203125,45722279,0700.HK,320.1077087402344,334.15000610351564,344.2857467651367,331.664981900341,341.337843547665,-9.672861647323998,-4.732088128813588,-4.94077351851041,29.28445647684653,344.2857467651367,17.135236903621806,378.5562205723803,310.0152729578931,1,1,1,0.0234053203496305,-0.0684420630068747,0.034452662231850964,0
2020-03-18,305.2289391376736,316.08550322735545,293.6604976992011,297.22003173828125,48160440,0700.HK,312.20558471679686,328.81073303222655,340.84191436767577,326.3657587984856,338.06985748771064,-11.70409868922502,-6.126490240895875,-5.577608448329145,25.958642677313208,340.84191436767577,19.30499749251056,379.4519093526969,302.23191938265467,0,0,0,-0.04516851231555685,-0.09607563902376969,0.03627814160815128,1
2020-03-19,305.2288818359375,311.9919952405258,289.3890319832672,305.2288818359375,64815069,0700.HK,308.5392700195313,323.1866882324219,337.8608123779297,323.1139315734782,335.6371926246163,-12.523261051138093,-7.405844402944319,-5.117416648193774,33.63766573803662,337.8608123779297,19.99354094439481,377.8478942667193,297.87373048914003,1,0,0,0.02694586246699715,-0.055564808361073054,0.04115303346945357,1
2020-03-20,315.90746669630323,324.2723557644406,310.7461578059885,320.00091552734375,56732339,0700.HK,307.5782043457031,319.96532287597654,336.01876068115234,322.6350060279191,334.4789498766702,-11.84394384875111,-8.293464292105677,-3.550479556645433,39.61215323063802,336.01876068115234,19.849328732932182,375.7174181470167,296.320103215288,1,1,1,0.048396578995254735,0.00011123909005916398,0.049184437463698834,0
2020-03-23,302.7372079761223,319.8229075472731,302.7372079761223,309.6782531738281,41974224,0700.HK,308.6816345214844,317.3490692138672,334.13221130371096,320.641659434982,332.64186123201523,-12.000201797033242,-9.03481179309119,-2.9653900039420513,34.82845252663955,334.13221130371096,20.49238510804127,375.1169815197935,293.1474410876284,0,1,0,-0.032258227563206954,-0.024171541007008863,0.04063861445186351,1
2020-03-24,321.24675756146434,327.2979349273456,318.5770927621446,324.9842529296875,39717104,0700.HK,311.42246704101564,315.765087890625,332.51262817382815,321.3097507418598,332.07463098739834,-10.764880245538563,-9.380825483580665,-1.3840547619578984,41.469192912780244,332.51262817382815,19.827908915139485,372.1684460041071,292.85681034354917,1,1,1,0.049425491131493304,0.029196277209264602,0.0451213297147492,1
